#Character ID	Max Speakers	Gender	Age	Status	Comment	Reference Comment	Hypothetical Only
daughters of Zelophehad	-1	Female				NUM 27:3 <-(1 more)-> JOS 17:4	False
David	1	Male	Adult			1SA 17:26 <-(427 more)-> PRO 4:9	False
David (old)	1	Male	Elder			1KI 1:16 <-(14 more)-> 1KI 2:9	False
David's enemies	-1	Male				PSA 3:2 <-(12 more)-> PSA 71:11	False
David's men	-1	Male				1SA 23:3 <-(2 more)-> 2SA 21:17	False
David's supporters	-1					PSA 35:27	False
Deborah	1	Female			prophetess	JDG 4:6 <-(2 more)-> JDG 4:14	False
Delaiah	1	Male			son of Shemaiah		False
Delilah	1	Female				JDG 16:6 <-(7 more)-> JDG 16:20	False
Demetrius the silversmith	1	Male				ACT 19:25 <-(1 more)-> ACT 19:27	False
demons (Legion)	-1	Male					False
demons coming out of people	-1					LUK 4:41	False
disciple who wanted to bury his father	1	Male				MAT 8:21 & LUK 9:59	False
disciples	11	Male				MAT 8:25 <-(76 more)-> ACT 21:4	False
disciples (but not Thomas)	10	Male				JHN 20:25	False
disciples in Ephesus, some	-1					ACT 19:2 & ACT 19:3	False
disciples of John the Baptist	-1	Male				MAT 9:14 <-(1 more)-> LUK 7:20	False
disciples, some	-1					LUK 21:5	False
disciples, two men (from Joppa)	2	Male				ACT 9:38	False
Doeg the Edomite	1	Male				1SA 22:9 <-(1 more)-> PSA 52:0	False
donkey (female)	1	Female				NUM 22:28 & NUM 22:30	False
dream	1	Male				MAT 2:12 & MAT 2:22	False
dreamers	-1	Either				JUD 1:8	False
drunkard	1	Male				PRO 23:35	True
each one	1					2CO 9:7	True
eagle crying with loud voice	1	PreferMale				REV 8:13	False
ear	1	Neuter				1CO 12:16	True
Ebed-Melech (official of king of Judea)	1	Male				JER 38:9 & JER 38:12	False
Edom	1	Male				NUM 20:18 <-(1 more)-> MAL 1:4	False
Edomites	-1					PSA 137:7	False
Eglon, king of Moab	1	Male				JDG 3:19	False
Egyptian (slave of Amalekite)	1					1SA 30:13 <-(1 more)-> 1SA 30:15	False
Egyptians	-1					EXO 12:33 & EXO 14:25	False
Egyptians, all the	-1					GEN 47:15 <-(2 more)-> GEN 47:25	False
Ehud, Israelite deliverer	1	Male				JDG 3:19 <-(1 more)-> JDG 3:28	False
eighty other priests	80	Male					False
Ekron, people of	-1					1SA 5:10 & 1SA 5:11	False
Elasah, son of Shaphan	1	Male				JER 29:4-28	False
elders	-1	Male	Elder			RUT 4:11 <-(2 more)-> 2CH 10:7	False
elders of Israel	-1	Male	Elder			1SA 4:3 <-(1 more)-> 1SA 8:6	False
elders of Jabesh	-1	Male	Elder			1SA 11:3	False
elders of the Jews	-1	Male	Elder			LUK 7:4 & LUK 7:5	False
elders of the land	-1	Male	Elder			JER 26:18 & JER 26:19	False
